"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Eif4b",4.51702925081313,17.2706640473095,64.4078600565094,2.74499724992379e-69,5.24294474735443e-66,147.580895809438
"Map6",4.47737788141892,18.6156124270341,56.7913975022173,4.03222924243313e-65,3.85077892652364e-62,138.2506346128
"Spag9",4.25128511379558,15.4209000585648,52.4292104233191,6.49175794506273e-62,4.13308589168994e-59,131.00366924229
"Eps15l1",3.59431020151132,16.2239488268713,49.0963128563867,2.48643284529111e-60,1.1872716836265e-57,127.426648039638
"Nefl",4.9138988342893,17.8825797527872,56.7171470642905,1.57910342060185e-59,6.03217506669906e-57,125.495389008221
"Upf1",4.39949014866077,15.9689868956269,47.6354884320224,2.42265113003313e-59,7.71210609727214e-57,125.181595473391
"Tardbp",4.10823459294989,15.9065528442593,46.2362923594231,2.28154367468761e-58,6.22535488379048e-56,122.966910684548
"Pdap1",4.51667518530187,16.2408875125454,45.0994819269799,1.47891707485823e-57,3.53091451622402e-55,121.11882518471
"Clint1",4.54317491318736,15.9961228921644,55.0856606027005,1.96846197958371e-57,4.17751375667209e-55,120.74713908968
"Dmtn",4.7308258157223,16.5162741573058,48.9749377927018,3.03180373043833e-55,5.79074512513722e-53,115.836961344763
"Strn",3.84754708767752,15.9651663541871,45.6418284693982,8.30543060512957e-55,1.44212476870886e-52,114.855302799888
"Hnrnpk",4.23062436674515,16.7244510239075,40.6157864002637,3.6929995519148e-54,5.87802428679772e-52,113.363265587929
"Map1a",4.11304728043701,18.0449933957699,40.2441843520592,7.31425465517738e-54,1.0746327993376e-51,112.684332354731
"Birc6",3.72642381753892,15.2256413443832,48.0613013553348,1.4384594332225e-53,1.96246965532498e-51,112.025592839987
"Psmc3",5.670788965946,16.4111523379688,42.4360997107894,4.08084589123445e-53,5.1149754959627e-51,110.999826127564
"Scyl1",4.81317869053706,14.6255485149131,46.345346368582,4.28479622698446e-53,5.1149754959627e-51,110.954043469043
"Stx7",5.34077277692258,15.4130758117269,57.9659685105216,6.10712497447837e-53,6.86153453014922e-51,110.460105921879
"Ncl",4.18567236755206,15.4229174087719,38.612850181213,1.57485145680785e-52,1.67109237916833e-50,109.632273906906
"Washc2",4.06403418730073,15.2729236118161,45.3912778236079,1.68250131579109e-52,1.6913565858742e-50,109.603826881006
"Dbnl",3.53028863892923,15.4617902980507,46.1362187608837,2.04369149754491e-52,1.95172538015539e-50,109.410039248687
"Mapt",3.43150882897807,17.9734754777206,41.3243048811003,2.61579002477863e-52,2.37912330825104e-50,109.157180858911
"Cttn",3.08145840752463,16.7977272371742,38.0673760367396,4.51182762200314e-52,3.91708670819364e-50,108.584794267744
"Fus",3.13944347177608,16.2304125844799,38.546396938339,5.03094215488357e-52,4.17786935470766e-50,108.48367452025
"Magi1",4.11881134411397,16.0765144193144,50.0132892524609,9.83462786962741e-52,7.82672467957848e-50,107.83310449474
"Rpsa",5.83140496833671,14.3125614925879,38.0825074888001,1.2186479479591e-51,9.3104703224075e-50,107.603228234514
"Aak1",4.07690320272992,15.9454720462849,38.0465955096838,1.30556645847716e-51,9.59089206035147e-50,107.534652248685
"Synj1",4.94726114932755,16.1404299011271,49.7263357458667,1.39192914724858e-51,9.84660989349921e-50,107.492314563146
"Mtdh",4.58041940898853,15.0518436450333,50.6247851924001,1.90974947609541e-51,1.3027219640508e-49,107.171011561001
"Dync1li2",4.61380534240498,15.7278440918488,40.4333384464193,3.63145392899033e-51,2.3917506911626e-49,106.550731872201
"Ddx5",5.7312087673566,14.7687787511916,40.3710968233896,4.03784979214247e-51,2.57076436766404e-49,106.445385049185
"Atxn2l",5.13092377266682,15.9827887124019,43.9186707660964,4.95923699747841e-51,3.05552989199477e-49,106.259511784777
"Amph",4.62815096543067,16.3496787271319,51.2047075883273,6.9646114740386e-50,4.15700247356679e-48,103.609933823281
"Ubap2l",4.72998600638199,14.7577813158186,41.7292934947092,1.34411754300614e-49,7.7662741698822e-48,102.992000404374
"Rbm14",3.69372050316602,15.2744659274028,49.3534152257827,1.38247812448165e-49,7.7662741698822e-48,102.950707628672
"Uqcrc2",8.42020378699425,15.6740933443913,53.1318572859879,1.66015634026267e-49,9.05971031400483e-48,102.631701537747
"Atp1a1",3.47714098088591,16.326316803046,35.0275909877041,2.06304126518068e-49,1.09455800458197e-47,102.480507961398
"Ciapin1",5.29893168296363,15.2580075919384,41.9429659166214,3.15651474278941e-49,1.62944409695345e-47,102.149822951545
"Sec22b",4.32709444666099,15.8704987955472,34.8095469371891,3.25917159615266e-49,1.63816256543462e-47,102.024237280381
"Ampd2",4.51170457903255,16.1608802704879,49.3236167191266,5.78728598874745e-49,2.83428621500196e-47,101.536258379537
"Nudc",4.47998074203765,15.6058204099642,42.2870577410274,6.22139154202827e-49,2.9707144613185e-47,101.48122383996
"Cs",3.90487767649343,16.0458193594338,43.8288462566834,7.9025339399115e-49,3.68142434761731e-47,101.249158512781
"Rtn1",4.16955996665462,17.6785777480326,39.0849544186495,9.852295130385e-49,4.48044849977032e-47,101.002724352614
"Arhgap1",4.65849193117076,15.5629316897005,38.7830623423156,1.64227819868755e-48,7.1289803624846e-47,100.494706373754
"Dnm1l",4.55052800616077,16.4332558659324,40.8504001168631,1.68447282117372e-48,7.14965130764846e-47,100.489301764427
"Dnm3",4.41870247382758,14.8203422650297,50.9908473037253,1.57727676743958e-48,7.00604331583629e-47,100.446228141989
"Ppp3ca",5.20190590647889,16.3470193452218,33.9969362062614,1.83240029414082e-48,7.60844469958472e-47,100.300725929564
"Ermp1",5.44710795614344,15.0615951199269,49.2802716846668,2.47786547364452e-48,9.85983969721049e-47,100.099869065202
"Fermt2",2.96034565188149,15.3444422842206,33.9013347929319,2.25048640450126e-48,9.14559368637746e-47,100.095525762535
"Map7",5.56978808275015,15.4265444297192,39.5797077495621,4.02629225981286e-48,1.56943228902909e-46,99.6179627829373
"Sptbn1",3.22380805150583,15.4742939691028,33.6112297402586,4.21191859549555e-48,1.6089529034793e-46,99.4696452463877
"Synrg",3.1295441839834,16.1100889779198,39.4075457628398,5.32515660995267e-48,1.99432335784502e-46,99.3401625680231
"NARS1",3.72992807035147,14.6351592387715,40.031100868643,6.07759304522451e-48,2.23122390629673e-46,99.2156757138941
"Eif3c",5.29102476752603,14.783247622195,36.8244630665144,6.19135429495952e-48,2.23122390629673e-46,99.1567758796715
"Numbl",3.79985292415092,15.7068055567186,40.7035739115249,6.76483005472153e-48,2.39274544528113e-46,99.1154053784769
"Rab3gap2",3.36346607968245,15.0806275875459,47.1743779671987,7.16170006408435e-48,2.48706311316384e-46,99.0656141997356
"Sart3",3.99871508156159,14.9278965712655,43.892297340961,8.9676778628716e-48,3.05861869965799e-46,98.8502528959413
"Eps15",3.18366492062763,16.1502846450492,38.0774223421,1.61921982330383e-47,5.42580677633388e-46,98.2265492575953
"Pdxdc1",5.03161122213781,14.7441567457173,38.6789721816828,1.76056388186491e-47,5.70137571408597e-46,98.1515543744567
"Rpl30",5.16821271721721,13.5431813988762,38.0281189446204,1.76115794309462e-47,5.70137571408597e-46,98.1429441520694
"Atp6v1a",3.53199340869739,15.3184768949238,33.6927518960515,2.20896962461009e-47,6.92492450128518e-46,97.8364230791121
"Tagln2",3.35997361711564,19.0103150262892,32.8540445221358,2.21162510250469e-47,6.92492450128518e-46,97.8130215821422
"Eef1d",4.34498973787321,15.2338456094639,32.84124254585,2.27516140588061e-47,7.00896497618058e-46,97.7847211689483
"Glo1",3.21960719478021,16.4895584868233,33.2270203254782,2.39776583970396e-47,7.26941706957868e-46,97.7434400651071
"Grk2",5.01700284117718,15.8571234562812,45.9103891559321,3.31029162340658e-47,9.879151563604e-46,97.5586976717676
"Lnpk",5.8689004049762,16.0374740588203,45.7418383641488,4.07222171356601e-47,1.17847628377441e-45,97.3545963255542
"Reps1",3.31274762934556,14.3227772819369,38.186201333018,3.9994284215281e-47,1.17521665924903e-45,97.3354871473469
"Prune1",4.65092549244832,16.3197599324644,37.3997052691636,5.1849021004755e-47,1.47808403162809e-45,97.0682572880875
"Asap1",4.24811076455329,15.5445649404568,44.9405660972903,1.10117062359765e-46,3.0929939574581e-45,96.3738634532838
"Madd",4.46456469656973,15.5367367432797,44.6199283441144,1.6473165637735e-46,4.43151357296816e-45,95.9764891254389
"Ran",2.74085430820879,15.2637795245463,32.3862797928593,1.50951050612478e-46,4.17850009666424e-45,95.9050270344801
"Coro1c",2.82338573140784,15.3202866543572,33.6437648864783,1.56551297367997e-46,4.27161397104106e-45,95.9031793291534
"Rabl6",4.37094597934172,14.6979288513261,39.2886009376461,1.9144971375506e-46,5.0787354621134e-45,95.8029195481805
"Oxr1",4.33704553816877,15.1138547307628,44.0760211080545,3.28273557291832e-46,8.58907526612874e-45,95.2958320406981
"Atg2b",3.67604561176879,14.6964007902516,44.0318491107522,3.47302988031858e-46,8.96417171811957e-45,95.2401863751573
"Nebl",3.68577056878939,15.7891993075265,44.7351198477129,5.29521489625625e-46,1.33077111208545e-44,94.8237466584341
"Hdlbp",4.21423015377903,14.6484852212913,32.2521188227409,4.90772111999119e-46,1.24983297855776e-44,94.7382546929553
"Tacc2",3.79224520460035,15.0176046664224,50.8066168230736,6.73286469129477e-46,1.67010020264585e-44,94.5499487062799
"Mink1",3.96467910366225,14.6200124584242,43.2886262383347,9.03616220044661e-46,2.21270125677603e-44,94.2954736917208
"Dync1li1",4.67396684464989,15.5940611047908,36.8651409048398,1.09788495201291e-45,2.65438007385401e-44,94.0476647734703
"Copb2",5.00353531411734,14.5273256888854,39.5661598787572,1.25019980189854e-45,2.98485202703276e-44,93.9540030729266
"Smap1",4.69598765319132,16.8400303978436,41.1556320553702,1.33279970426014e-45,3.14277461128007e-44,93.903393721479
"Enah",4.90187780539032,15.8136836559726,42.8209480444978,1.66246839771529e-45,3.87233492638562e-44,93.6927008178971
"Ap3s1",5.29894266124074,15.3280854629875,39.142464343678,2.37259746312858e-45,5.45983271635613e-44,93.3175941587852
"Rnf214",4.26580631364426,15.3838030787605,42.4441888319711,2.7291954884033e-45,6.1821221809448e-44,93.2023415542705
"Eif5",5.42068811893129,15.0981933832224,38.3109112597099,2.75120620617962e-45,6.1821221809448e-44,93.1619705048731
"Chmp4b",4.11581725432637,16.5555870684301,30.6851334467324,3.09130071129641e-45,6.86556320764668e-44,92.8735512354006
"Tars1",5.81400306381783,14.50300658192,49.1150582064604,3.76178170284666e-45,8.25862419820358e-44,92.8679101006952
"Chmp2b",4.67498283827791,15.3858712609773,40.4093885651208,3.83801562884951e-45,8.33023846716201e-44,92.854590314679
"Rtn4",3.89691109058116,17.9205005472827,30.5417913281785,4.32965149204341e-45,9.29172398854261e-44,92.5364551185157
"Fam114a2",5.01992287290995,15.3003539119343,42.817852478521,5.95192001665682e-45,1.26095766027987e-43,92.4341175202664
"Rint1",2.94101317921029,15.3994353379284,35.298120154184,6.0077040358884e-45,1.26095766027987e-43,92.3428990910646
"Vcpip1",3.74020473979262,14.2721219228676,41.7098666816143,7.25826333254128e-45,1.5068785831689e-43,92.2341084178645
"Ddx3x",4.91338571880114,15.3839647412143,35.0967272997471,8.63847418886772e-45,1.73678796849867e-43,91.9806445484412
"Rpl24",5.23213728964746,15.0217775352036,30.6418946035661,7.86062983110648e-45,1.61438741692617e-43,91.9520827251888
"Ehbp1",3.1411870795613,14.9421087194937,41.3748979411144,1.14009592535892e-44,2.26831585149534e-43,91.7868397588886
"Crip2",4.20515222040406,18.1276195086667,33.3798120356738,1.15531938527417e-44,2.27490724316872e-43,91.6544498564208
"Gga3",6.14973043275016,14.9970414229043,41.2581816341454,1.33543459282616e-44,2.58191461609161e-43,91.630155806999
"Vapb",5.5806377944064,16.0748477503064,41.2566184511472,1.33826987954487e-44,2.58191461609161e-43,91.6280543792045
"Bag3",5.20001983632675,15.5974594384784,32.7779017363259,1.50385418516853e-44,2.8723614936719e-43,91.3785987357706
"Tgoln1",5.55324327288713,15.011668147159,37.8228783831985,1.81956843087581e-44,3.44096604254732e-43,91.2921717616951
"Epb41l3",4.43850276349872,18.254897840118,29.898313263443,1.99761049048806e-44,3.74062356552176e-43,91.0061350640118
"Wipi2",3.75875494075566,15.937949774469,35.6495567023972,2.54829822250604e-44,4.68004769710243e-43,90.9248264447767
"Scfd2",5.27401879742422,15.4414348381909,55.3202518041616,2.50001529384706e-44,4.63595069053193e-43,90.9175632585173
"Rtn3",5.60223144430281,17.3026486760075,36.182209204767,2.94541824694441e-44,5.30731023741871e-43,90.7917484902187
"Prph",5.20910572423295,18.5656555498572,29.7792902681003,2.65864004055773e-44,4.8361928356812e-43,90.71997092657
"Rab11fip5",3.88170891965166,14.4368685005325,34.908692363439,3.35061010916264e-44,5.98099561542117e-43,90.6401407438841
"Skt",2.67560489442847,14.5228115882408,34.7374148843613,4.55658045903322e-44,7.9844666759206e-43,90.3334031737479
"Copz1",5.57812515762586,15.3842042822452,30.6583383854925,4.06595987921297e-44,7.19072534194146e-43,90.3329702833775
"Snap29",4.49003675599119,15.2812059091775,41.1821698424124,5.08997632659878e-44,8.83804980345787e-43,90.3098133833588
"Smap2",4.67026616336534,15.1617442711577,43.0811249977545,5.5991830543902e-44,9.63463030079755e-43,90.2233001918045
"Snap91",5.78666248111252,16.1639256479979,41.0895553967044,5.76133218908281e-44,9.82512900102515e-43,90.1734154119891
"Pcbp2",5.05161353425076,15.2024714139568,30.3555363365285,8.09277038169513e-44,1.3678930468175e-42,89.6441237534686
"Add2",5.86802620043475,16.9178446318021,33.2895404855968,9.33224204249143e-44,1.54996367836162e-42,89.5926855679156
"Palm",2.53175447523261,16.2702719759372,29.2810631446319,8.89012429746527e-44,1.48948573755778e-42,89.5113590843451
"Rpl4",4.66425993488358,15.0610555626794,29.5721723197912,9.76838861619468e-44,1.60841571180447e-42,89.4298589702545
"Cct8",2.53096188723871,17.9848682752648,28.9456315142149,2.02337334649566e-43,3.30311375368095e-42,88.6877435731887
"Trim28",3.50119691034782,14.6782557531876,35.5120716787529,2.63018621989849e-43,4.25733532203908e-42,88.6208848672412
"Gls",4.57797268505007,15.3526072415865,38.9744206289293,3.21593933632187e-43,5.16171775829814e-42,88.4737184977358
"Srrm2",4.1561906249622,14.6612408108351,38.7976277735265,4.1436812548947e-43,6.59535933070739e-42,88.2219025534565
"Eif4h",3.35413590062463,15.2242895075768,32.9820141391485,4.40000018491376e-43,6.94545483734321e-42,88.0574987947148
"Camk2g",4.43610373380941,14.6808588737177,47.1242135996756,5.2582345355952e-43,8.16522598616815e-42,88.0071151954349
"Samhd1",3.54534752146686,14.7272547884144,40.3516507716262,5.30830709226962e-43,8.17650527922175e-42,87.9920146757367
"Rps3a",5.67920741295351,15.4721524547729,29.5672045056805,4.99371855552588e-43,7.81803478774954e-42,87.8223283362933
"Sugt1",3.73329163189091,15.3046628050481,38.3492816668675,7.91851276132554e-43,1.19089443890801e-41,87.5782780171001
"Zyx",3.18536672448669,14.5974701159717,29.1161718022565,6.47658036477054e-43,9.89621479736939e-42,87.5486532669225
"Serbp1",4.75607107092067,13.7557014346781,31.2608624241368,8.49128385167528e-43,1.26705876224217e-41,87.3585491388069
"Lasp1",2.58355635400946,15.8106935327711,28.4088359213346,7.6715622965205e-43,1.16291142748843e-41,87.3527155610903
"Akap13",4.37187095027112,14.1822620695566,42.8151835770806,1.0518019459497e-42,1.55731916028211e-41,87.3298981792728
"Ppid",4.84205321502995,15.3796617776945,37.1346943362068,1.53164508660256e-42,2.21624402682644e-41,86.911705133798
"Rpl14",5.19266687625175,15.175622070311,28.4796015609804,1.38822974784814e-42,2.03962986029996e-41,86.771669960407
"Cast",3.2368960811228,16.1858854196846,28.4442973242695,1.51466599090236e-42,2.20840613940726e-41,86.6843411154766
"Relch",6.19789517798897,14.5543674590514,40.1003704906468,2.53680219290882e-42,3.64307683342545e-41,86.4478877934076
"Ablim2",3.55239880396344,15.8212055488474,37.5413825505921,2.58955556925597e-42,3.69108293826783e-41,86.3999213193335
"Klc1",4.20036692417326,15.2329932013323,39.8800027949154,3.39835232373783e-42,4.6951979241872e-41,86.1578575353768
"Cox5b",4.78614966118099,15.1447192926413,35.2775419947409,3.23592889444382e-42,4.54457660910861e-41,86.1399383960695
"Nap1l1",5.26263429654736,15.3157858783462,35.2522662561862,3.37341248452558e-42,4.6951979241872e-41,86.1012013539364
"Plaa",2.78664945182476,14.8312195397937,29.1239900960051,3.16594869587764e-42,4.47923111787133e-41,85.9862230743718
"Gabbr1",4.53799660863329,15.3566430330743,37.2503109356598,3.99142331318847e-42,5.44544180584998e-41,85.9693873457179
"Dctn4",3.10237285591973,16.3074543918128,29.8126798703009,3.41692414378021e-42,4.6951979241872e-41,85.9374255580683
"Pcp4l1",5.93940897554648,15.785930026785,47.9072901621383,4.32662841226692e-42,5.86089380668782e-41,85.8957559828927
"Slc25a46",4.48820437363281,15.5927226509523,36.9734358735297,6.04123007497991e-42,8.12587988958565e-41,85.5568433110479
"Ptpn23",4.39115787471175,15.3810301889315,48.5921368478636,9.81382513274901e-42,1.31079762262592e-40,85.1113045418589
"Cend1",6.1293337265399,18.5159792578589,34.5116902314542,1.15562949246926e-41,1.52224298663192e-40,84.8727923037956
"Dpysl5",4.31890543596092,14.8112632561104,39.7968349418922,1.29670120668184e-41,1.69636938682351e-40,84.8372454365688
"Pygb",4.38766974423101,16.4001204085727,30.4601090755056,1.10350261233727e-41,1.46367360386401e-40,84.8060401429747
"Ap3b2",3.98009123777264,15.6687383550431,36.3785903317054,1.48616752640887e-41,1.93100678601424e-40,84.6604218929503
"Palmd",5.49773946223367,15.2530921984301,49.6011748422313,1.73564663864407e-41,2.21005671987345e-40,84.5404384118426
"Ttc1",5.78411816179225,15.5655528651626,40.3996334976871,2.06974784688037e-41,2.60080157075099e-40,84.3811236533464
"Araf",2.70425568871526,15.7266318051616,27.2301103472175,1.54234346747431e-41,1.99045677221347e-40,84.3452734661179
"Map1b",3.74496677156787,18.855154543221,27.2071527129427,1.63688850288984e-41,2.09829331578497e-40,84.2856324092879
"Sdha",3.9046911525748,14.6849560406095,36.0895042535477,2.31304337155828e-41,2.88752473181459e-40,84.2197059614102
"Tppp3",4.30953948993627,19.3676332495361,27.1311320842958,1.99390372595933e-41,2.522090143432e-40,84.0878432974353
"Snap47",5.26546318405117,14.8409708587968,32.7623262809789,3.22536556624611e-41,3.94900527662184e-40,83.8197663398898
"Pcnp",3.65125041298691,15.1008302125577,30.4027897537271,2.99941412407259e-41,3.69605224321203e-40,83.8195065188119
"Anxa6",3.30888972156338,16.2092770680815,27.0274342392173,2.61155795277968e-41,3.23901018818779e-40,83.8173058678347
"Dnajc6",3.60004970535892,15.4968811115432,35.7790097789522,3.73339706173907e-41,4.54190343179722e-40,83.7425903340986
"Spr",4.28204991469502,14.236746164981,32.1469827434868,3.79832385404893e-41,4.59164465900852e-40,83.6417939710732
"Eif4g2",4.49753007910085,14.8389295639132,30.245643644612,4.16283201837596e-41,5.00063468874093e-40,83.491346374963
"Drg2",4.96798311149736,14.7142330421144,48.6113106028671,4.30024119921342e-41,5.10152837919108e-40,83.4441617548022
"G6pdx",3.55669370728754,14.9430913976927,28.7013007752037,4.25062955021486e-41,5.07418902556899e-40,83.4123117951417
"Lrsam1",4.06137601728098,15.4418550724062,39.6311736776961,5.53160857910718e-41,6.52183480623131e-40,83.4062618046717
"Impact",5.89856690431062,14.5427775060726,38.5869451513895,6.46830067833072e-41,7.48754805794647e-40,83.198409539309
"Dync1i2",4.81672621563432,14.9670354597476,32.3913252668069,6.34314177013487e-41,7.3874395005839e-40,83.1436824526522
"Scfd1",4.11480087942861,14.3763039032304,39.3849803781528,7.60799631968621e-41,8.70136106023991e-40,83.0899992217954
