"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"Prph",6.4460516070996,18.7281683465587,73.4088736745632,2.41279425790875e-21,1.05439109070612e-18,38.4003636969865
"Rtn4",6.393686378862,17.6216710616227,65.9343554595232,1.29572609924999e-20,2.83116152686122e-18,37.0081844582356
"Synm",5.42534265703225,17.0716425610862,62.2330431909846,3.19917461593356e-20,4.66013102387655e-18,36.2335087596913
"Cend1",8.14830415150582,18.2010501606788,70.9603695384896,4.69073263224055e-20,5.1246254007228e-18,35.3751294342483
"TurboID",6.69643838838777,19.1962136491956,57.96497928338,9.71642600748981e-20,7.54433002989034e-18,35.2586085208556
"Sart3",5.44225801238588,15.723701477661,57.7282318004222,1.03583478671263e-19,7.54433002989034e-18,35.2017465670748
"Tardbp",5.19856096376362,17.3915333814317,56.6410697748628,1.39425982863352e-19,8.70416493018352e-18,34.9366431853583
"Mapt",4.89289429729062,17.512563686812,55.7060126761239,1.80850510810549e-19,9.01337574929092e-18,34.7032573885708
"Map6",4.2900642739405,16.5983526698017,55.6130964958573,1.85630164173039e-19,9.01337574929092e-18,34.6797880965097
"Rtn1",5.04970840834877,17.2401288775795,54.9894115036747,2.21401263566527e-19,9.67523521785723e-18,34.5209297314891
"Ran",4.28303122217335,14.8377359854849,52.3351608894772,4.7950172878351e-19,1.89973135588675e-17,33.8180610760894
"Akap12",3.57405188127495,16.8374577157983,51.3035737765872,6.54324250372867e-19,2.19839918445498e-17,33.5325681434333
"Map1a",4.84406202690187,16.7707616345641,50.9314057765956,7.33091512998469e-19,2.19839918445498e-17,33.4277942746923
"Tppp3",5.96431884198304,19.103405028537,60.2034477756712,5.21665360884233e-19,1.89973135588675e-17,33.4158784500269
"Map1b",5.62591668224672,18.1050506422897,50.8371553010507,7.54599262398735e-19,2.19839918445498e-17,33.4011084258167
"Nefh",6.82379217756212,17.399316772633,50.2612098556238,9.0148925719388e-19,2.46219253371078e-17,33.2366833518281
"Map2",5.77252174332597,16.8428209594691,49.9741344265712,9.85801847426823e-19,2.5340906313266e-17,33.1538480637451
